analysis_type,scope,model,dropped_component,aggregation_level,n,estimate,ci_low,ci_high,p_value,delta_rho,n_boot,source_file
leave_one_species_out,species_pair_different_species,MultiRocket,Equus caballus,NA,56,-0.346577,NA,NA,0.00887847529119412,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,MultiRocket,Equus ferus przewalskii,NA,56,-0.208849,NA,NA,0.12241323453610892,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,MultiRocket,Erinaceus europaeus,NA,56,-0.147986,NA,NA,0.27639407222334467,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,MultiRocket,Giraffa camelopardalis,NA,56,-0.306777,NA,NA,0.02146590005343344,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,MultiRocket,Procyon lotor,NA,56,-0.378171,NA,NA,0.00405687449120752,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,MultiRocket,Vulpes vulpes,NA,56,-0.235383,NA,NA,0.08075130501640687,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,MultiRocket,none (full),NA,72,-0.289684,NA,NA,0.0135792074394742,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,RF,Bison bonasus,NA,56,-0.403474,NA,NA,0.002046102943968,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,RF,Bos taurus,NA,56,-0.388566,NA,NA,0.00308212824395447,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,RF,Canis lupus familiaris,NA,56,-0.309923,NA,NA,0.02009892456341196,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,RF,Equus caballus,NA,56,-0.361075,NA,NA,0.0062570697687558,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,RF,Equus ferus przewalskii,NA,56,-0.231827,NA,NA,0.08557597450009184,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,RF,Erinaceus europaeus,NA,56,-0.112836,NA,NA,0.40767540178420136,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
