source_species,target_species,model,mean_macro_f1,n_dataset_pairs,core_gower_distance,extended_gower_distance,same_species,excluded_from_primary_h3
Giraffa camelopardalis,Canis lupus familiaris,ResNet,0.12075447494788577,2,0.644639956115366,0.5920436084370511,FALSE,no
Giraffa camelopardalis,Equus caballus,ResNet,0.11577880238608255,1,0.4794079794079794,0.39598689598689596,FALSE,no
Giraffa camelopardalis,Equus ferus przewalskii,ResNet,0.2314571278274592,1,0.4722978247568412,0.39146225211798985,FALSE,no
Giraffa camelopardalis,Erinaceus europaeus,ResNet,0.06862745098039216,1,0.9285714285714286,0.9545454545454546,FALSE,no
Giraffa camelopardalis,Procyon lotor,ResNet,0.18025355012796423,2,0.8217397725594446,0.7350465219317678,FALSE,no
Giraffa camelopardalis,Vulpes vulpes,ResNet,0.17132526255519967,2,0.679072515138089,0.6139552369060566,FALSE,no
Procyon lotor,Bison bonasus,ResNet,0.5005915100134561,2,0.6664767812308795,0.6362428001772263,FALSE,no
Procyon lotor,Bos taurus,ResNet,0.26869481634502923,2,0.6788826297023017,0.6441374310226768,FALSE,no
Procyon lotor,Canis lupus familiaris,ResNet,0.3640314491386307,4,0.5580521973964597,0.567245337737141,FALSE,no
Procyon lotor,Equus caballus,ResNet,0.5574253119550618,2,0.6280460788657509,0.6117868986721445,FALSE,no
Procyon lotor,Equus ferus przewalskii,ResNet,0.48860522782301,2,0.6351562335168891,0.6163115425410507,FALSE,no
Procyon lotor,Erinaceus europaeus,ResNet,0.31326517359368666,2,0.6782602274405554,0.6740443871591414,FALSE,no
Procyon lotor,Giraffa camelopardalis,ResNet,0.2657783224643011,2,0.8217397725594446,0.7350465219317678,FALSE,no
Procyon lotor,Procyon lotor,ResNet,0.5261733341116944,2,0,0,TRUE,yes
Procyon lotor,Vulpes vulpes,ResNet,0.5579777127017173,4,0.523999409245311,0.5455753816409554,FALSE,no
Vulpes vulpes,Bison bonasus,ResNet,0.42604697937721825,2,0.6190476190476192,0.4848484848484849,FALSE,no
Vulpes vulpes,Bos taurus,ResNet,0.16648886862874676,2,0.6314534675190414,0.4927431156939354,FALSE,no
Vulpes vulpes,Canis lupus familiaris,ResNet,0.3314190580193281,4,0.03443255902272295,0.11282071937809643,FALSE,no
Vulpes vulpes,Equus caballus,ResNet,0.17828808687141018,2,0.3425216785872523,0.30887743182825145,FALSE,no
Vulpes vulpes,Equus ferus przewalskii,ResNet,0.38264864420507894,2,0.34963183323839064,0.31340207569715767,FALSE,no
Vulpes vulpes,Erinaceus europaeus,ResNet,0.302085013840206,2,0.6780703420047682,0.7951356721848526,FALSE,no
Vulpes vulpes,Giraffa camelopardalis,ResNet,0.3042787202645181,2,0.679072515138089,0.6139552369060566,FALSE,no
Vulpes vulpes,Procyon lotor,ResNet,0.5231478364489355,4,0.523999409245311,0.5455753816409554,FALSE,no
Vulpes vulpes,Vulpes vulpes,ResNet,0.7673049328205881,2,0,0,TRUE,yes
Bison bonasus,Bos taurus,HYDRA,0.5274703544175906,1,0.012405848471422263,0.00789463084545053,FALSE,no
Bison bonasus,Canis lupus familiaris,HYDRA,0.38462278041998826,2,0.5846150600248959,0.4629368563794793,FALSE,no
Bison bonasus,Equus caballus,HYDRA,0.3257510798104459,1,0.27652594046036666,0.17597105302023333,FALSE,no
Bison bonasus,Equus ferus przewalskii,HYDRA,0.904675613091516,1,0.2694157858092284,0.17144640915132717,FALSE,no
Bison bonasus,Erinaceus europaeus,HYDRA,0.36273306364388613,1,0.7733084372428635,0.8557417327909131,FALSE,no
Bison bonasus,Giraffa camelopardalis,HYDRA,0.20135639519052195,1,0.4409772770428509,0.37153099448181415,FALSE,no
Bison bonasus,Procyon lotor,HYDRA,0.42974257301969654,2,0.6664767812308795,0.6362428001772263,FALSE,no
Bison bonasus,Vulpes vulpes,HYDRA,0.41191154031356497,2,0.6190476190476192,0.4848484848484849,FALSE,no
Bos taurus,Bison bonasus,HYDRA,0.5503775950076456,1,0.012405848471422263,0.00789463084545053,FALSE,no
Bos taurus,Canis lupus familiaris,HYDRA,0.337877908139072,2,0.5970209084963184,0.47083148722492985,FALSE,no
Bos taurus,Equus caballus,HYDRA,0.2437224398833641,1,0.28893178893178895,0.18386568386568386,FALSE,no
Bos taurus,Equus ferus przewalskii,HYDRA,0.6263137811899068,1,0.28182163428065066,0.1793410399967777,FALSE,no
Bos taurus,Erinaceus europaeus,HYDRA,0.4856820502674412,1,0.7857142857142857,0.8636363636363636,FALSE,no
Bos taurus,Giraffa camelopardalis,HYDRA,0.3489923429096989,1,0.42857142857142855,0.36363636363636365,FALSE,no
